x,y,total_attenuation_dB
6,76.0,69.0
6,77.0,69.1
6,78.0,69.1
6,79.0,69.2
6,80.0,69.2
6,81.0,69.2
6,82.0,69.3
6,83.0,69.3
6,84.0,69.4
6,85.0,69.4
6,86.0,69.5
6,87.0,69.5
6,88.0,69.6
6,89.0,69.7
6,90.0,69.7
6,91.0,69.8
6,92.0,69.8
6,93.0,69.9
6,94.0,69.9
6,95.0,70.0
6,96.0,70.0
6,97.0,70.1
6,98.0,70.2
6,99.0,70.2
7,0.0,75.2
7,1.0,70.1
7,2.0,70.1
7,3.0,75.0
7,4.0,75.0
7,5.0,74.9
7,6.0,69.8
7,7.0,69.8
7,8.0,69.7
7,9.0,69.7
7,10.0,69.6
7,11.0,69.6
7,12.0,69.5
7,13.0,69.4
7,14.0,69.4
7,15.0,69.3
7,16.0,69.3
7,17.0,69.2
7,18.0,69.2
7,19.0,69.1
7,20.0,69.1
7,21.0,69.0
7,22.0,69.0
7,23.0,69.0
7,24.0,68.9
7,25.0,68.9
7,26.0,68.8
7,27.0,68.8
7,28.0,68.8
7,29.0,68.7
7,30.0,68.7
7,31.0,68.6
7,32.0,68.6
7,33.0,68.6
7,34.0,68.6
7,35.0,68.5
7,36.0,68.5
7,37.0,68.5
7,38.0,68.5
7,39.0,68.4
7,40.0,68.4
7,41.0,68.4
7,42.0,68.4
7,43.0,68.4
7,44.0,68.4
7,45.0,68.3
7,46.0,68.3
7,47.0,68.3
7,48.0,68.3
7,49.0,78.3
7,50.0,78.3
7,51.0,78.3
7,52.0,68.3
7,53.0,68.3
7,54.0,68.3
7,55.0,73.3
7,56.0,73.4
7,57.0,73.4
7,58.0,73.4
7,59.0,68.4
7,60.0,68.4
7,61.0,68.4
7,62.0,68.5
7,63.0,68.5
7,64.0,68.5
7,65.0,68.5
7,66.0,68.6
7,67.0,68.6
7,68.0,68.6
7,69.0,68.6
7,70.0,68.7
7,71.0,68.7
7,72.0,68.8
7,73.0,68.8
7,74.0,68.8
7,75.0,68.9
7,76.0,68.9
7,77.0,69.0
7,78.0,69.0
7,79.0,69.0
7,80.0,69.1
7,81.0,69.1
7,82.0,69.2
7,83.0,69.2
7,84.0,69.3
7,85.0,69.3
7,86.0,69.4
7,87.0,69.4
7,88.0,69.5
7,89.0,69.6
7,90.0,69.6
7,91.0,69.7
7,92.0,69.7
7,93.0,69.8
7,94.0,69.8
7,95.0,69.9
7,96.0,70.0
7,97.0,70.0
7,98.0,70.1
7,99.0,70.1
8,0.0,75.1
8,1.0,75.1
8,2.0,70.0
8,3.0,69.9
8,4.0,74.9
8,5.0,74.8
8,6.0,74.7
8,7.0,69.7
8,8.0,69.6
8,9.0,69.6
8,10.0,69.5
8,11.0,69.5
8,12.0,69.4
8,13.0,69.3
8,14.0,69.3
8,15.0,69.2
8,16.0,69.2
8,17.0,69.1
8,18.0,69.1
8,19.0,69.0
8,20.0,69.0
8,21.0,68.9
8,22.0,68.9
8,23.0,68.8
8,24.0,68.8
8,25.0,68.8
8,26.0,68.7
8,27.0,68.7
8,28.0,68.6
8,29.0,68.6
8,30.0,68.6
8,31.0,68.5
8,32.0,68.5
8,33.0,68.5
8,34.0,68.4
8,35.0,68.4
8,36.0,68.4
8,37.0,68.4
8,38.0,68.3
8,39.0,68.3
8,40.0,68.3
8,41.0,68.3
8,42.0,68.3
8,43.0,68.2
8,44.0,68.2
8,45.0,68.2
8,46.0,68.2
8,47.0,68.2
8,48.0,68.2
8,49.0,78.2
8,50.0,78.2
8,51.0,78.2
8,52.0,68.2
8,53.0,68.2
8,54.0,68.2
8,55.0,73.2
8,56.0,73.2
8,57.0,73.2
8,58.0,73.3
8,59.0,68.3
8,60.0,68.3
8,61.0,68.3
8,62.0,68.3
8,63.0,68.4
8,64.0,68.4
8,65.0,68.4
8,66.0,68.4
8,67.0,68.5
8,68.0,68.5
8,69.0,68.5
8,70.0,68.6
8,71.0,68.6
8,72.0,68.6
8,73.0,68.7
8,74.0,68.7
8,75.0,68.8
8,76.0,68.8
8,77.0,68.8
8,78.0,68.9
8,79.0,68.9
8,80.0,69.0
8,81.0,69.0
8,82.0,69.1
8,83.0,69.1
8,84.0,69.2
8,85.0,69.2
8,86.0,69.3
8,87.0,69.3
8,88.0,69.4
8,89.0,69.5
8,90.0,69.5
8,91.0,69.6
8,92.0,69.6
8,93.0,69.7
8,94.0,69.7
8,95.0,69.8
8,96.0,69.9
8,97.0,69.9
8,98.0,70.0
8,99.0,70.1
9,0.0,75.0
9,1.0,75.0
9,2.0,74.9
9,3.0,69.8
9,4.0,74.8
9,5.0,74.7
9,6.0,74.7
9,7.0,69.6
9,8.0,69.5
9,9.0,69.5
9,10.0,69.4
9,11.0,69.4
9,12.0,69.3
9,13.0,69.2
9,14.0,69.2
9,15.0,69.1
9,16.0,69.1
9,17.0,69.0
9,18.0,69.0
9,19.0,68.9
9,20.0,68.9
9,21.0,68.8
9,22.0,68.8
9,23.0,68.7
9,24.0,68.7
9,25.0,68.6
9,26.0,68.6
9,27.0,68.6
9,28.0,68.5
9,29.0,68.5
9,30.0,68.4
9,31.0,68.4
9,32.0,68.4
9,33.0,68.3
9,34.0,68.3
9,35.0,68.3
9,36.0,68.3
9,37.0,68.2
9,38.0,68.2
9,39.0,68.2
9,40.0,68.2
9,41.0,68.1
9,42.0,68.1
9,43.0,68.1
9,44.0,68.1
9,45.0,68.1
9,46.0,68.1
9,47.0,68.1
9,48.0,68.1
9,49.0,78.1
9,50.0,78.1
9,51.0,78.1
9,52.0,68.1
9,53.0,68.1
9,54.0,68.1
9,55.0,73.1
9,56.0,73.1
9,57.0,73.1
9,58.0,73.1
9,59.0,68.1
9,60.0,68.2
9,61.0,68.2
9,62.0,68.2
9,63.0,68.2
9,64.0,68.3
9,65.0,68.3
9,66.0,68.3
9,67.0,68.3
9,68.0,68.4
9,69.0,68.4
9,70.0,68.4
9,71.0,68.5
9,72.0,68.5
9,73.0,68.6
9,74.0,68.6
9,75.0,68.6
9,76.0,68.7
9,77.0,68.7
9,78.0,68.8
9,79.0,68.8
9,80.0,68.9
9,81.0,68.9
9,82.0,69.0
9,83.0,69.0
9,84.0,69.1
9,85.0,69.1
9,86.0,69.2
9,87.0,69.2
9,88.0,69.3
9,89.0,69.4
9,90.0,69.4
9,91.0,69.5
9,92.0,69.5
9,93.0,69.6
9,94.0,69.7
9,95.0,69.7
9,96.0,69.8
9,97.0,69.8
9,98.0,69.9
9,99.0,70.0
10,0.0,74.9
10,1.0,74.9
10,2.0,74.8
10,3.0,69.8
10,4.0,69.7
10,5.0,74.6
10,6.0,74.6
10,7.0,74.5
10,8.0,69.4
10,9.0,69.4
10,10.0,69.3
10,11.0,69.3
10,12.0,69.2
10,13.0,69.1
10,14.0,69.1
10,15.0,69.0
10,16.0,69.0
10,17.0,68.9
10,18.0,68.9
10,19.0,68.8
10,20.0,68.8
10,21.0,68.7
10,22.0,68.7
